mes_ano,UF,regiao,Novos_Casos,obitosNovos
2020-08,AC,Norte,5022,81
2020-08,AL,Nordeste,19040,320
2020-08,AM,Norte,19356,381
2020-08,AP,Norte,6725,96
2020-08,BA,Nordeste,89079,1920
2020-08,CE,Nordeste,40943,741
2020-08,DF,Centro-Oeste,55750,1052
2020-08,ES,Sudeste,27720,607
2020-08,GO,Centro-Oeste,64565,1438
2020-08,MA,Nordeste,30954,433
2020-08,MG,Sudeste,89288,2546
2020-08,MS,Centro-Oeste,24001,486
2020-08,MT,Centro-Oeste,39481,932
2020-08,PA,Norte,44871,418
2020-08,PB,Nordeste,22984,639
2020-08,PE,Nordeste,30491,1024
2020-08,PI,Nordeste,25928,496
2020-08,PR,Sul,55200,1352
2020-08,RJ,Sudeste,58136,2588
2020-08,RN,Nordeste,11332,479
2020-08,RO,Norte,16161,276
2020-08,RR,Norte,11322,82
2020-08,RS,Sul,59122,1559
2020-08,SC,Sul,90061,1159
2020-08,SE,Nordeste,13815,423
2020-08,SP,Sudeste,261987,7017
2020-08,TO,Norte,25870,292
2020-09,AC,Norte,3575,47
2020-09,AL,Nordeste,8265,185
2020-09,AM,Norte,19030,507
2020-09,AP,Norte,5061,48
2020-09,BA,Nordeste,53194,1333
2020-09,CE,Nordeste,25990,585
2020-09,DF,Centro-Oeste,30203,734
2020-09,ES,Sudeste,20078,379
2020-09,GO,Centro-Oeste,76905,1578
2020-09,MA,Nordeste,21949,310
2020-09,MG,Sudeste,77303,2018
2020-09,MS,Centro-Oeste,20769,441
2020-09,MT,Centro-Oeste,32070,655
2020-09,PA,Norte,30893,427
2020-09,PB,Nordeste,15489,374
2020-09,PE,Nordeste,21896,723
2020-09,PI,Nordeste,18681,302
2020-09,PR,Sul,46507,1190
2020-09,RJ,Sudeste,41152,2422
2020-09,RN,Nordeste,7685,137
2020-09,RO,Norte,10758,209
2020-09,RR,Norte,6684,56
2020-09,RS,Sul,64759,1347
2020-09,SC,Sul,36210,536
2020-09,SE,Nordeste,4912,179
2020-09,SP,Sudeste,181269,5608
2020-09,TO,Norte,17309,266
2020-10,AC,Norte,2574,34
2020-10,AL,Nordeste,3910,166
2020-10,AM,Norte,22357,387
2020-10,AP,Norte,3921,39
2020-10,BA,Nordeste,42110,873
2020-10,CE,Nordeste,31774,359
2020-10,DF,Centro-Oeste,21000,428
2020-10,ES,Sudeste,24077,301
2020-10,GO,Centro-Oeste,46036,1081
2020-10,MA,Nordeste,12263,297
2020-10,MG,Sudeste,63355,1635
2020-10,MS,Centro-Oeste,12638,289
2020-10,MT,Centro-Oeste,19486,392
2020-10,PA,Norte,22470,170
2020-10,PB,Nordeste,11882,277
2020-10,PE,Nordeste,15722,376
2020-10,PI,Nordeste,17205,273
2020-10,PR,Sul,34238,724
2020-10,RJ,Sudeste,45194,2113
2020-10,RN,Nordeste,11743,184
2020-10,RO,Norte,5755,100
2020-10,RR,Norte,6349,44
2020-10,RS,Sul,57004,1015
2020-10,SC,Sul,43447,317
2020-10,SE,Nordeste,6886,170
2020-10,SP,Sudeste,130482,3689
2020-10,TO,Norte,7566,158
2020-11,AC,Norte,5463,30
2020-11,AL,Nordeste,4195,101
2020-11,AM,Norte,16517,351
2020-11,AP,Norte,6956,59
2020-11,BA,Nordeste,49244,642
2020-11,CE,Nordeste,25855,259
2020-11,DF,Centro-Oeste,15901,247
2020-11,ES,Sudeste,33948,408
2020-11,GO,Centro-Oeste,23966,598
2020-11,MA,Nordeste,7343,243
2020-11,MG,Sudeste,56939,1017
2020-11,MS,Centro-Oeste,16717,177
2020-11,MT,Centro-Oeste,15231,287
2020-11,PA,Norte,17629,172
2020-11,PB,Nordeste,12104,194
2020-11,PE,Nordeste,19513,410
2020-11,PI,Nordeste,13723,224
2020-11,PR,Sul,66179,934
2020-11,RJ,Sudeste,44377,1990
2020-11,RN,Nordeste,13947,111
2020-11,RO,Norte,8872,104
2020-11,RR,Norte,5808,35
2020-11,RS,Sul,74482,1016
2020-11,SC,Sul,103840,649
2020-11,SE,Nordeste,5822,102
2020-11,SP,Sudeste,125518,2784
2020-11,TO,Norte,6063,67
2020-12,AC,Norte,5361,72
2020-12,AL,Nordeste,9834,150
2020-12,AM,Norte,22813,391
2020-12,AP,Norte,9070,118
2020-12,BA,Nordeste,89236,855
2020-12,CE,Nordeste,32555,378
2020-12,DF,Centro-Oeste,22555,329
2020-12,ES,Sudeste,57997,793
2020-12,GO,Centro-Oeste,29455,454
2020-12,MA,Nordeste,7768,204
2020-12,MG,Sudeste,126288,1850
2020-12,MS,Centro-Oeste,34700,560
2020-12,MT,Centro-Oeste,21294,370
2020-12,PA,Norte,22992,273
2020-12,PB,Nordeste,21231,377
2020-12,PE,Nordeste,39760,617
2020-12,PI,Nordeste,15658,213
2020-12,PR,Sul,135988,1813
2020-12,RJ,Sudeste,80294,2940
2020-12,RN,Nordeste,22960,305
2020-12,RO,Norte,15191,256
2020-12,RR,Norte,5250,53
2020-12,RS,Sul,127616,2059
2020-12,SC,Sul,126612,1491
2020-12,SE,Nordeste,22357,176
2020-12,SP,Sudeste,220633,4622
2020-12,TO,Norte,8726,70
2021-01,AC,Norte,6847,72
2021-01,AL,Nordeste,12950,257
2021-01,AM,Norte,66381,2832
2021-01,AP,Norte,8840,134
2021-01,BA,Nordeste,93418,960
2021-01,CE,Nordeste,37167,486
2021-01,DF,Centro-Oeste,25409,295
2021-01,ES,Sudeste,45452,755
2021-01,GO,Centro-Oeste,41701,683
2021-01,MA,Nordeste,6550,197
2021-01,MG,Sudeste,190932,3131
2021-01,MS,Centro-Oeste,27260,580
2021-01,MT,Centro-Oeste,36378,595
2021-01,PA,Norte,35766,448
2021-01,PB,Nordeste,25100,384
2021-01,PE,Nordeste,39134,694
2021-01,PI,Nordeste,16351,221
2021-01,PR,Sul,131772,2041
2021-01,RJ,Sudeste,86319,4281
2021-01,RN,Nordeste,22500,292
2021-01,RO,Norte,28934,427
2021-01,RR,Norte,5266,73
2021-01,RS,Sul,97608,1797
2021-01,SC,Sul,82026,1087
2021-01,SE,Nordeste,24912,294
2021-01,SP,Sudeste,314987,6317
2021-01,TO,Norte,11859,148
2021-02,AC,Norte,9067,131
2021-02,AL,Nordeste,13983,258
2021-02,AM,Norte,48572,2743
2021-02,AP,Norte,6622,81
2021-02,BA,Nordeste,94994,1701
2021-02,CE,Nordeste,51651,808
2021-02,DF,Centro-Oeste,19584,284
2021-02,ES,Sudeste,31943,520
2021-02,GO,Centro-Oeste,45244,1029
2021-02,MA,Nordeste,11819,355
2021-02,MG,Sudeste,143727,3467
2021-02,MS,Centro-Oeste,20507,410
2021-02,MT,Centro-Oeste,33613,663
2021-02,PA,Norte,35337,955
2021-02,PB,Nordeste,29531,440
2021-02,PE,Nordeste,38175,648
2021-02,PI,Nordeste,14668,277
2021-02,PR,Sul,97241,1628
2021-02,RJ,Sudeste,62077,3269
2021-02,RN,Nordeste,26312,300
2021-02,RO,Norte,24109,606
2021-02,RR,Norte,7512,240
2021-02,RS,Sul,93642,1723
2021-02,SC,Sul,92631,1018
2021-02,SE,Nordeste,13994,183
2021-02,SP,Sudeste,264211,6459
2021-02,TO,Norte,11707,144
2021-03,AC,Norte,12123,264
2021-03,AL,Nordeste,21745,556
2021-03,AM,Norte,33157,1155
2021-03,AP,Norte,13879,162
2021-03,BA,Nordeste,119096,3481
2021-03,CE,Nordeste,112451,2740
2021-03,DF,Centro-Oeste,47670,1191
2021-03,ES,Sudeste,55509,1052
2021-03,GO,Centro-Oeste,88496,3081
2021-03,MA,Nordeste,23094,1018
2021-03,MG,Sudeste,245205,5732
2021-03,MS,Centro-Oeste,34070,958
2021-03,MT,Centro-Oeste,59128,1829
2021-03,PA,Norte,52880,1835
2021-03,PB,Nordeste,38058,1248
2021-03,PE,Nordeste,49756,1179
2021-03,PI,Nordeste,31314,769
2021-03,PR,Sul,198303,5019
2021-03,RJ,Sudeste,64831,3647
2021-03,RN,Nordeste,29366,922
2021-03,RO,Norte,38498,1293
2021-03,RR,Norte,7383,240
2021-03,RS,Sul,204456,7344
2021-03,SC,Sul,149829,3527
2021-03,SE,Nordeste,23189,540
2021-03,SP,Sudeste,428144,15159
2021-03,TO,Norte,27051,506
2021-04,AC,Norte,8146,267
2021-04,AL,Nordeste,20174,668
2021-04,AM,Norte,21653,612
2021-04,AP,Norte,8212,241
2021-04,BA,Nordeste,96861,3102
2021-04,CE,Nordeste,128681,3394
2021-04,DF,Centro-Oeste,34419,1769
2021-04,ES,Sudeste,54019,2001
2021-04,GO,Centro-Oeste,67173,3402
2021-04,MA,Nordeste,24509,1206
2021-04,MG,Sudeste,235224,9312
2021-04,MS,Centro-Oeste,32587,1441
2021-04,MT,Centro-Oeste,51385,2071
2021-04,PA,Norte,54036,2555
2021-04,PB,Nordeste,33496,1052
2021-04,PE,Nordeste,57354,1863
2021-04,PI,Nordeste,35415,997
2021-04,PR,Sul,101310,5654
2021-04,RJ,Sudeste,94740,7679
2021-04,RN,Nordeste,26714,953
2021-04,RO,Norte,25468,1020
2021-04,RR,Norte,6747,166
2021-04,RS,Sul,129589,5215
2021-04,SC,Sul,81006,2649
2021-04,SE,Nordeste,27179,773
2021-04,SP,Sudeste,433682,21539
2021-04,TO,Norte,18741,514
2021-05,AC,Norte,4721,133
2021-05,AL,Nordeste,19384,531
2021-05,AM,Norte,15642,358
2021-05,AP,Norte,6368,153
2021-05,BA,Nordeste,110997,2721
2021-05,CE,Nordeste,133497,3056
2021-05,DF,Centro-Oeste,27120,872
2021-05,ES,Sudeste,44924,1256
2021-05,GO,Centro-Oeste,56874,2033
2021-05,MA,Nordeste,23389,864
2021-05,MG,Sudeste,212867,6762
2021-05,MS,Centro-Oeste,42540,1097
2021-05,MT,Centro-Oeste,44414,1135
2021-05,PA,Norte,45055,1523
2021-05,PB,Nordeste,38296,876
2021-05,PE,Nordeste,75572,1824
2021-05,PI,Nordeste,32445,826
2021-05,PR,Sul,145558,4018
2021-05,RJ,Sudeste,122748,6178
2021-05,RN,Nordeste,45451,656
2021-05,RO,Norte,16828,595
2021-05,RR,Norte,7154,127
2021-05,RS,Sul,110554,3241
2021-05,SC,Sul,80309,1742
2021-05,SE,Nordeste,35126,817
2021-05,SP,Sudeste,368135,15183
2021-05,TO,Norte,18580,331
2021-06,AC,Norte,3032,76
2021-06,AL,Nordeste,23671,589
2021-06,AM,Norte,15671,328
2021-06,AP,Norte,5066,139
2021-06,BA,Nordeste,112405,2722
2021-06,CE,Nordeste,82786,2097
2021-06,DF,Centro-Oeste,24558,581
2021-06,ES,Sudeste,35588,660
2021-06,GO,Centro-Oeste,66785,2154
2021-06,MA,Nordeste,27147,903
2021-06,MG,Sudeste,231744,5712
2021-06,MS,Centro-Oeste,44686,1389
2021-06,MT,Centro-Oeste,45360,1069
2021-06,PA,Norte,36323,965
2021-06,PB,Nordeste,65477,934
2021-06,PE,Nordeste,68135,1823
2021-06,PI,Nordeste,22916,670
2021-06,PR,Sul,190455,4267
2021-06,RJ,Sudeste,92836,4886
2021-06,RN,Nordeste,71739,652
2021-06,RO,Norte,18041,378
2021-06,RR,Norte,8581,109
2021-06,RS,Sul,129996,3206
2021-06,SC,Sul,84211,1585
2021-06,SE,Nordeste,26607,607
2021-06,SP,Sudeste,455178,16307
2021-06,TO,Norte,19068,330
2021-07,AC,Norte,1585,61
2021-07,AL,Nordeste,13243,469
