,mes_ano,UF,Novos_Casos,obitosNovos
0,2020-08,AC,5022,81
1,2020-08,AL,19040,320
2,2020-08,AM,19356,381
3,2020-08,AP,6725,96
4,2020-08,BA,89079,1920
5,2020-08,CE,40943,741
6,2020-08,DF,55750,1052
7,2020-08,ES,27720,607
8,2020-08,GO,64565,1438
9,2020-08,MA,30954,433
10,2020-08,MG,89288,2546
11,2020-08,MS,24001,486
12,2020-08,MT,39481,932
13,2020-08,PA,44871,418
14,2020-08,PB,22984,639
15,2020-08,PE,30491,1024
16,2020-08,PI,25928,496
17,2020-08,PR,55200,1352
18,2020-08,RJ,58136,2588
19,2020-08,RN,11332,479
20,2020-08,RO,16161,276
21,2020-08,RR,11322,82
22,2020-08,RS,59122,1559
23,2020-08,SC,90061,1159
24,2020-08,SE,13815,423
25,2020-08,SP,261987,7017
26,2020-08,TO,25870,292
27,2020-09,AC,3575,47
28,2020-09,AL,8265,185
29,2020-09,AM,19030,507
30,2020-09,AP,5061,48
31,2020-09,BA,53194,1333
32,2020-09,CE,25990,585
33,2020-09,DF,30203,734
34,2020-09,ES,20078,379
35,2020-09,GO,76905,1578
36,2020-09,MA,21949,310
37,2020-09,MG,77303,2018
38,2020-09,MS,20769,441
39,2020-09,MT,32070,655
40,2020-09,PA,30893,427
41,2020-09,PB,15489,374
42,2020-09,PE,21896,723
43,2020-09,PI,18681,302
44,2020-09,PR,46507,1190
45,2020-09,RJ,41152,2422
46,2020-09,RN,7685,137
47,2020-09,RO,10758,209
48,2020-09,RR,6684,56
49,2020-09,RS,64759,1347
50,2020-09,SC,36210,536
51,2020-09,SE,4912,179
52,2020-09,SP,181269,5608
53,2020-09,TO,17309,266
54,2020-10,AC,2574,34
55,2020-10,AL,3910,166
56,2020-10,AM,22357,387
57,2020-10,AP,3921,39
58,2020-10,BA,42110,873
59,2020-10,CE,31774,359
60,2020-10,DF,21000,428
61,2020-10,ES,24077,301
62,2020-10,GO,46036,1081
63,2020-10,MA,12263,297
64,2020-10,MG,63355,1635
65,2020-10,MS,12638,289
66,2020-10,MT,19486,392
67,2020-10,PA,22470,170
68,2020-10,PB,11882,277
69,2020-10,PE,15722,376
70,2020-10,PI,17205,273
71,2020-10,PR,34238,724
72,2020-10,RJ,45194,2113
73,2020-10,RN,11743,184
74,2020-10,RO,5755,100
75,2020-10,RR,6349,44
76,2020-10,RS,57004,1015
77,2020-10,SC,43447,317
78,2020-10,SE,6886,170
79,2020-10,SP,130482,3689
80,2020-10,TO,7566,158
81,2020-11,AC,5463,30
82,2020-11,AL,4195,101
83,2020-11,AM,16517,351
84,2020-11,AP,6956,59
85,2020-11,BA,49244,642
86,2020-11,CE,25855,259
87,2020-11,DF,15901,247
88,2020-11,ES,33948,408
89,2020-11,GO,23966,598
90,2020-11,MA,7343,243
91,2020-11,MG,56939,1017
92,2020-11,MS,16717,177
93,2020-11,MT,15231,287
94,2020-11,PA,17629,172
95,2020-11,PB,12104,194
96,2020-11,PE,19513,410
97,2020-11,PI,13723,224
98,2020-11,PR,66179,934
99,2020-11,RJ,44377,1990
100,2020-11,RN,13947,111
101,2020-11,RO,8872,104
102,2020-11,RR,5808,35
103,2020-11,RS,74482,1016
104,2020-11,SC,103840,649
105,2020-11,SE,5822,102
